reason_code,family,source_timeframe,definition,execution_effect,notes
M15_REVERSE_CONFIRMED,M15_REVERSE,M15,M15 closed barでadverse cross成立しavailability到達,NONE_SHADOW_ONLY,primary候補family
M15_REVERSE_WITH_M30_ADVERSE,M15_REVERSE_CONTEXT,M15+M30,M15_REVERSE_CONFIRMED かつ M30 regimeがbasket方向にadverse,NONE_SHADOW_ONLY,報告値: rescue 26 / harm 3 の最良文脈
M15_REVERSE_WITH_M5_PROXY,M15_REVERSE_CONTEXT,M15+M5,M15_REVERSE_CONFIRMED かつ M5_REVERSE_FOLLOWTHROUGH_PROXY成立,NONE_SHADOW_ONLY,proxyであり本物のretest failureではない(rescue 27 / harm 12)
M5_REVERSE_WARNING,M5_WARNING,M5,M5 closed barでadverse cross成立(単独警告),NONE_SHADOW_ONLY,ノイズ多。単独でexit候補化しない
RECROSS_TO_ORIGINAL_DIRECTION,CHOP_DIAGNOSTIC,any,latch後にoriginal方向へcross,NONE_SHADOW_ONLY,chop/false-signal診断用
SIGNAL_PERSISTED_1_BAR,PERSISTENCE,any,latch後adverse状態が1 closed bar継続,NONE_SHADOW_ONLY,持続性診断
SIGNAL_PERSISTED_2_BARS,PERSISTENCE,any,latch後adverse状態が2 closed bars継続,NONE_SHADOW_ONLY,持続性診断
SIGNAL_PERSISTED_3_BARS,PERSISTENCE,any,latch後adverse状態が3 closed bars継続(打ち切り),NONE_SHADOW_ONLY,持続性診断上限
SIGNAL_CENSORED,CENSORING,any,availability到達前(または持続確認前)にBasket終了,NONE_SHADOW_ONLY,効果計算から除外し件数を必ず報告
M30_ENTRY_REGIME_MISMATCH,ENTRY_DIAGNOSTIC,M30,entry時点でM30 regimeがbasket方向とmismatch(v1.1.0追加/ingested source: M30_REGIME_MISMATCH_AT_ENTRY),NONE_SHADOW_ONLY,one-step合計-8630円。exit候補失格・entry診断のみ
M15_REVERSE_M30_M5_COMBO,M15_REVERSE_CONTEXT,M30+M15+M5,M30 adverse regime + M15逆クロス + M5 pullback(v1.1.0追加/ingested source: M30_REGIME_PLUS_M15_CROSS_PLUS_M5_PULLBACK),NONE_SHADOW_ONLY,best候補: sum+29585円(censored除外+26395円)/harm 0.049/6run正。ただしpost-hedge only 0.94
