candidate_id,candidate,eligible_signal_count,hardstop_coverage,rescue_yen,harm_yen,harm_over_gross_benefit,winner_truncation_in_profit,eventual_winner_kill_count,hte_kill,recovery_kill,basketclose_kill_yen,one_step_effect_sum_yen,pre_hedge_signal_rate,post_hedge_only_ratio,positive_runs,positive_capital_groups,leave_one_run_out_min_effect_yen,implementation_complexity,runtime_interference_risk,oos_native_tick_requirement,priority_rank,data_source,notes
C1,PRE_HEDGE_DAMAGE_CONTROL,NA_observation_target,26_of_26_hedged_are_loss_dominant_before_hedge,UNKNOWN,UNKNOWN,UNKNOWN,NA,NA,NA,NA,NA,NA,HIGH_by_definition,0.0,UNKNOWN,UNKNOWN,UNKNOWN,LOW_shadow_only,NONE_offline_overlay,REQUIRED_BEFORE_EXECUTION,1,INGESTED_RECOMPUTED_20260702,Phase B確定: Hedged 26件全件で損失の過半がHedge前に成立。左裾の本丸
C3,M15_REVERSE_CROSS_EXIT_SHADOW,68,29_of_37,63961,-56617,0.767605,0,26,1_case_-20yen,0,-56597,17141,0.161765,0.411765,4_of_6,2_of_2,5237,LOW_shadow_only,NONE_offline_overlay,REQUIRED_BEFORE_EXECUTION,2_shadow_only_never_raw_exit,INGESTED_ma_candidate_comparison,素のM15はBasketClose Kill -56597円でharm/gross 0.77。Exit化は不可・Shadow観測のみ
C4,M15_REVERSE_WITH_M30_CONTEXT,34,26_of_37,28087,-7874,0.235509,0,3,0,0,-7874,25560,0.029412,0.882353,6_of_6,2_of_2,19508,LOW_shadow_only,NONE_offline_overlay,REQUIRED_BEFORE_EXECUTION,2,INGESTED_ma_candidate_comparison,6/6run正・LOO最小+19508円。ただしpre-hedge率0.03=ほぼpost-hedge限定
C4b,M30_M15_M5_COMBO(best),31,26_of_37,27895,-1527,0.049081,0,1,0,0,-1527,29585,0.032258,0.935484,6_of_6,2_of_2,21050,LOW_shadow_only,NONE_offline_overlay,REQUIRED_BEFORE_EXECUTION,2,INGESTED_ma_candidate_comparison,最良候補。censored除外では+26395円。post-hedge only 0.94のためPre-Hedge目的には使えない
C5,M15_REVERSE_WITH_M5_PROXY,48,27_of_37,39097,-19029,0.402270,0,10,2_cases_-29yen,0,-19000,28274,0.062500,0.708333,4_of_6,2_of_2,19607,LOW_shadow_only,NONE_offline_overlay,REQUIRED_BEFORE_EXECUTION,3,INGESTED_ma_candidate_comparison,proxy限界。M30文脈(C4/C4b)に劣後
C5b,M5_REVERSE_WARNING(単独),147,31_of_37,85598,-122368,1.158898,0,102,3_cases_-42yen,0,-122326,-16778,0.176871,0.095238,3_of_6,1_of_2,-26485,LOW_shadow_only,NONE_offline_overlay,NA_DISQUALIFIED,6_observation_only,INGESTED_ma_candidate_comparison,合計マイナス。coverage最大(31/37)かつpre-hedge率最大(0.18)なので警告としてのみ価値
C6,EVENT_WINDOW_CONTEXT,NA,2_of_37_pm60_overlap,NA_observation_only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,UNKNOWN,NA,LOW_telemetry_only,NONE_if_offline,REQUIRED,5,INGESTED_RECOMPUTED_20260702,HardStop±60分event重なりは2/37のみ。警告なし4件もEvent外。Event単独レバーは弱い
C7,TA9_POST_HEDGE_TAIL_REDUCTION,NA,26_hedged_post_hedge_portion_only,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NA,1.0,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,MEDIUM_if_runtime_change,REQUIRED_BEFORE_EXECUTION,4,PRIOR_SESSION_JUDGMENT+PHASE_B,Phase B確定によりさらに限定的: loss_before_hedge支配の26件にはPost-Hedge圧縮の余地が小さい
C2,HEDGE_TRANSITION_CONTROL,NA,26_hedged,UNKNOWN,UNKNOWN,UNKNOWN,NA,NA,NA,NA,NA,NA,NA,1.0,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,NONE_if_offline,REQUIRED_BEFORE_EXECUTION,4,INGESTED_RECOMPUTED_20260702,giveback仮説はPhase Bで弱まった(before-hedge支配)。post-hedge回復系列の観測は残課題
C8,WINNER_EXTENSION,391_winners,NA,UNKNOWN,UNKNOWN,UNKNOWN,SELF_RISK,SELF_RISK,SELF_RISK,SELF_RISK,NA,NA,NA,NA,UNKNOWN,UNKNOWN,UNKNOWN,HIGH,HIGH,REQUIRED,7_deferred,QUALITATIVE,左裾圧縮の成果確認まで凍結
